2025-09-01 20:28:38,957 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:39,068 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:39,168 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:39,278 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:39,379 - LookupTableRL - INFO - Decision: No_DDoS for state ('61-80%', 'Critical', 'Confirming')
2025-09-01 20:28:39,489 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:39,600 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:39,707 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:39,813 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:39,924 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,025 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,134 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,236 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,346 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,456 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Confirmed')
2025-09-01 20:28:40,558 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:40,668 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:40,769 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:40,870 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:40,970 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:41,079 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:41,179 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:41,285 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:41,391 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
2025-09-01 20:28:41,491 - LookupTableRL - INFO - Decision: XGBoost for state ('61-80%', 'Safe', 'Normal')
